code,nom,groupe,sous_groupe,kcal,prot_g,lip_g,gluc_g,fibres_g,sel_g,calcium_mg,fer_mg,prix_cts_100g,min_g,max_g,categorie
8406,"Salade de museau de porc, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,172.0,8.51,14.8,0.89,0.75,1.58,14.7,1.4,100,50,400,légume
8407,"Salade de cervelas, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,259.0,7.6,24.2,1.93,1.28,1.75,0.0,0.0,50,50,400,légume
25600,"Salade de céleri rémoulade, préemballée",entrées et plats composés,salades composées et crudités,114.0,0.94,10.2,3.14,2.2,1.17,34.0,0.23,25,50,400,légume
25601,"Salade de thon et légumes, appertisée",entrées et plats composés,salades composées et crudités,117.0,9.15,4.7,8.13,2.7,1.11,20.7,1.1,80,50,400,légume
25602,"Salade composée avec viande ou poisson, appertisée",entrées et plats composés,salades composées et crudités,110.0,8.06,5.3,6.4,2.0,0.95,22.0,0.7,50,50,400,légume
25605,"Champignons à la grecque, préemballés",entrées et plats composés,salades composées et crudités,76.3,2.07,5.47,3.53,2.35,1.17,19.5,1.06,50,50,400,légume
25606,"Salade de pommes de terre, faite maison",entrées et plats composés,salades composées et crudités,127.0,2.68,8.2,9.9,1.3,1.32,19.0,0.65,20,50,400,légume
25608,"Taboulé ou salade de semoule aux légumes, préemballé",entrées et plats composés,salades composées et crudités,179.0,4.88,6.7,23.7,2.5,1.0,24.0,0.88,50,50,400,légume
25609,"Salade de pomme de terre à la piémontaise, préemballée",entrées et plats composés,salades composées et crudités,130.0,4.5,8.3,8.87,0.0,1.08,13.0,0.43,15,50,400,légume
25610,"Salade de museau de boeuf, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,118.0,11.7,7.6,0.8,0.0,2.04,0.0,0.0,160,50,400,légume
25614,"Salade de riz, appertisée",entrées et plats composés,salades composées et crudités,127.0,5.13,4.35,16.1,1.7,1.1,23.3,0.43,20,50,400,légume
25615,"Salade de pâtes au fromage et légumes, avec sauce",entrées et plats composés,salades composées et crudités,119.0,4.4,4.8,13.7,1.7,0.74,14.0,0.6,20,50,400,légume
25619,"Salade de pâtes aux légumes et poisson ou viande, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,160.0,6.24,8.24,14.2,1.96,0.89,24.0,0.95,20,50,400,légume
25626,"Macédoine de légumes en salade, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,129.0,2.5,10.7,3.47,4.0,0.99,44.0,0.72,50,50,400,légume
25629,"Salade végétarienne à base de boulgour et/ou quinoa et légumes, préemballée",entrées et plats composés,salades composées et crudités,168.0,3.79,8.3,17.4,3.3,0.77,37.0,1.2,50,50,400,légume
25642,"Salade de céleri et carotte rémoulade, préemballée",entrées et plats composés,salades composées et crudités,79.6,1.0,5.33,5.43,3.0,0.83,0.0,0.0,25,50,400,légume
25664,"Salade de pomme de terre au thon, préemballée",entrées et plats composés,salades composées et crudités,124.0,5.57,7.7,8.13,0.0,0.86,0.0,0.0,80,50,400,légume
25665,"Salade de pomme de terre à la saucisse, préemballée",entrées et plats composés,salades composées et crudités,156.0,3.08,11.6,8.75,2.1,1.28,0.0,0.0,90,50,400,légume
