%% File generated by CATS v.2.1Fri May 15 12:39:12 2026

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 32; Bids: 100; Distribution: matching; Runs: 1; Seed: 1
% Matching Distribution Parameters:
% Max airport price       = 5
% Early takeoff deviation = 1
% Late takeoff deviation  = 2
% Early landing deviation = 1
% Late landing deviation  = 2
% Deviation               = 0.500000
% Delay coefficient       = 0.900000
% Amount late coefficient = 0.750000



goods 32
bids 106
dummy 31

0	2361	3	28	#
1	2810	19	25	35	#
2	4697	21	30	37	#
3	3746	7	13	35	#
4	2529	7	17	35	#
5	2276	7	21	35	#
6	2048	7	25	35	#
7	2810	11	17	35	#
8	2529	11	21	35	#
9	2276	11	25	35	#
10	2810	15	21	35	#
11	2529	15	25	35	#
12	3683	0	30	#
13	6263	9	18	37	#
14	4227	9	22	37	#
15	3805	9	26	37	#
16	3424	9	30	37	#
17	4697	13	22	37	#
18	4227	13	26	37	#
19	3805	13	30	37	#
20	4697	17	26	37	#
21	4227	17	30	37	#
22	11897	18	25	38	#
23	8030	18	29	38	#
24	8923	22	29	38	#
25	9856	18	25	39	#
26	6653	18	29	39	#
27	7392	22	29	39	#
28	5487	9	18	54	#
29	6921	17	27	41	#
30	4671	17	31	41	#
31	5191	21	31	41	#
32	2153	1	24	42	#
33	1453	1	28	42	#
34	1615	5	28	42	#
35	3440	1	24	44	#
36	2322	1	28	44	#
37	2580	5	28	44	#
38	6516	2	28	#
39	9516	6	13	46	#
40	6423	6	17	46	#
41	5781	6	21	46	#
42	5203	6	25	46	#
43	7137	10	17	46	#
44	6423	10	21	46	#
45	5781	10	25	46	#
46	7137	14	21	46	#
47	6423	14	25	46	#
48	7137	18	25	46	#
49	2874	0	25	47	#
50	2586	0	29	47	#
51	2874	4	29	47	#
52	5001	2	9	48	#
53	3376	2	13	48	#
54	3038	2	17	48	#
55	2734	2	21	48	#
56	3751	6	13	48	#
57	3376	6	17	48	#
58	3038	6	21	48	#
59	3751	10	17	48	#
60	3376	10	21	48	#
61	3751	14	21	48	#
62	2759	0	31	#
63	5487	1	10	54	#
64	4939	1	14	54	#
65	4445	1	18	54	#
66	5487	5	14	54	#
67	4939	5	18	54	#
68	3829	0	25	55	#
69	2585	0	29	55	#
70	2872	4	29	55	#
71	5261	17	26	56	#
72	3551	17	30	56	#
73	3946	21	30	56	#
74	2980	11	17	57	#
75	2011	11	21	57	#
76	1810	11	25	57	#
77	1629	11	29	57	#
78	2235	15	21	57	#
79	2011	15	25	57	#
80	1810	15	29	57	#
81	2235	19	25	57	#
82	2011	19	29	57	#
83	2235	23	29	57	#
84	7303	18	25	58	#
85	4930	18	29	58	#
86	5477	22	29	58	#
87	3488	1	24	59	#
88	3139	1	28	59	#
89	3488	5	28	59	#
90	3030	0	25	60	#
91	2045	0	29	60	#
92	2272	4	29	60	#
93	3972	1	24	61	#
94	2681	1	28	61	#
95	2979	5	28	61	#
96	5245	5	15	62	#
97	3541	5	19	62	#
98	3187	5	23	62	#
99	2868	5	27	62	#
100	3934	9	19	62	#
101	3541	9	23	62	#
102	3187	9	27	62	#
103	3934	13	23	62	#
104	3541	13	27	62	#
105	3934	17	27	62	#
