N,K,solver,status,ret,risk,obj,runtime_s
50,5,CP-SAT,feasible,0.0698861820644026,0.0244280556594673,525411670.0,10.009202332
50,5,MILP-SCIP,optimal,0.067765155128212,0.0239812345458517,0.0521384493037244,0.557506
50,5,Greedy,heuristic,0.0923276445950795,0.0323783570159009,0.0695641404844249,0.1046488139982102
50,5,GA,heuristic,0.0711208417633819,0.0275760994782844,0.06675965562804,0.8824682160011434
100,10,CP-SAT,feasible,0.186799856656535,0.0376909205893462,23046490.0,10.005995893
100,10,MILP-SCIP,optimal,0.1634812573326193,0.0292759129101581,-0.0171063323560207,1.216617
100,10,Greedy,heuristic,0.1873587643262848,0.0366731417369372,-0.0039930556415986,0.3442793429967423
100,10,GA,heuristic,0.1873587643262848,0.0366731417369372,-0.0039930556415986,0.7002962920014397
200,20,CP-SAT,skipped,NA,NA,NA,NA
200,20,MILP-SCIP,timelimit,0.172767847694882,0.0267781604031286,-0.0388818278815692,10.149378
200,20,Greedy,heuristic,0.1440788841878646,0.024732554403808,-0.0204161121688245,2.423218834999716
200,20,GA,heuristic,0.1345432881027299,0.0242297420580894,-0.0133945778122826,1.0771956120006507
