K,solver,pnl,ann_vol,sharpe,max_drawdown,n_active,status,runtime_s
10,GreedySharpe,0.5054,0.1458,2.01,0.099,10,heuristic,1.63
10,GA,0.5054,0.1458,2.01,0.099,10,heuristic,0.54
10,MILP-SCIP,0.487,0.1416,2.006,0.0961,10,timelimit,20.0
10,CP-SAT,0.209,0.1748,0.837,0.1563,10,feasible,20.03
30,GreedySharpe,0.3622,0.1266,1.75,0.1067,30,heuristic,10.56
30,GA,0.3524,0.1276,1.697,0.1149,30,heuristic,1.19
30,MILP-SCIP,0.3846,0.1339,1.745,0.1091,19,timelimit,20.0
30,CP-SAT,0.242,0.1764,0.937,0.1518,13,feasible,20.04
50,GreedySharpe,0.3266,0.1132,1.781,0.1055,50,heuristic,24.6
50,GA,0.3176,0.1164,1.695,0.1126,50,heuristic,1.66
50,MILP-SCIP,0.3846,0.1339,1.745,0.1091,19,timelimit,20.0
50,CP-SAT,0.3478,0.1551,1.406,0.1315,15,feasible,20.07
70,GreedySharpe,0.2906,0.1095,1.663,0.1115,70,heuristic,36.96
70,GA,0.2883,0.1066,1.694,0.1088,70,heuristic,2.4
70,MILP-SCIP,0.3848,0.1346,1.737,0.1102,17,timelimit,20.0
70,CP-SAT,0.1447,0.1643,0.65,0.152,11,feasible,20.05
90,GreedySharpe,0.2667,0.1059,1.595,0.1107,90,heuristic,41.67
90,GA,0.2633,0.1057,1.58,0.1115,90,heuristic,2.81
90,MILP-SCIP,0.3841,0.1342,1.74,0.1107,21,timelimit,20.0
90,CP-SAT,0.218,0.1541,0.961,0.1364,13,feasible,20.04
110,GreedySharpe,0.2363,0.111,1.375,0.124,110,heuristic,95.67
110,GA,0.2262,0.1106,1.329,0.1241,110,heuristic,10.25
110,MILP-SCIP,0.3865,0.1339,1.753,0.1094,20,timelimit,20.0
110,CP-SAT,0.2786,0.1695,1.086,0.1435,11,feasible,20.04
