date,K,solver,cum
2023-07-13,10,GreedySharpe,0.9910386340440928
2023-07-14,10,GreedySharpe,0.9917536719282908
2023-07-17,10,GreedySharpe,1.0029297376834811
2023-07-18,10,GreedySharpe,1.0061080039487496
2023-07-19,10,GreedySharpe,1.0087049549289402
2023-07-20,10,GreedySharpe,0.9973159049509762
2023-07-21,10,GreedySharpe,0.9920243493638867
2023-07-24,10,GreedySharpe,0.9956977559921241
2023-07-25,10,GreedySharpe,1.0028116714962412
2023-07-26,10,GreedySharpe,1.0079907453890817
2023-07-27,10,GreedySharpe,0.9959018059929745
2023-07-28,10,GreedySharpe,1.003588182913648
2023-07-31,10,GreedySharpe,1.006851065159935
2023-08-01,10,GreedySharpe,1.0065544744033839
2023-08-02,10,GreedySharpe,0.9931083384372925
2023-08-03,10,GreedySharpe,0.99884295894256
2023-08-04,10,GreedySharpe,0.9933224062739707
2023-08-07,10,GreedySharpe,1.0012336758827665
2023-08-08,10,GreedySharpe,1.0001747141920674
2023-08-09,10,GreedySharpe,0.9976509489470557
2023-08-10,10,GreedySharpe,1.0001722215595152
2023-08-11,10,GreedySharpe,0.9951742917117015
2023-08-14,10,GreedySharpe,0.9991510188135508
2023-08-15,10,GreedySharpe,0.9898717028590684
2023-08-16,10,GreedySharpe,0.9913182621029544
2023-08-17,10,GreedySharpe,0.9770015072736996
2023-08-18,10,GreedySharpe,0.9751221412734583
2023-08-21,10,GreedySharpe,0.9869000905345074
2023-08-22,10,GreedySharpe,0.9844893776323769
2023-08-23,10,GreedySharpe,0.994073951088891
2023-08-24,10,GreedySharpe,0.9852898151865304
2023-08-25,10,GreedySharpe,0.9918072749389611
2023-08-28,10,GreedySharpe,1.002796932328367
2023-08-29,10,GreedySharpe,1.018006319427695
2023-08-30,10,GreedySharpe,1.0266376393898164
2023-08-31,10,GreedySharpe,1.0212576573047043
2023-09-01,10,GreedySharpe,1.019864037573849
2023-09-05,10,GreedySharpe,1.0159337740060492
2023-09-06,10,GreedySharpe,1.0104371537161183
2023-09-07,10,GreedySharpe,1.0169276614872786
2023-09-08,10,GreedySharpe,1.008598531645902
2023-09-11,10,GreedySharpe,1.023392490832095
2023-09-12,10,GreedySharpe,1.0190579683817875
2023-09-13,10,GreedySharpe,1.0222078039636011
2023-09-14,10,GreedySharpe,1.0298781467353555
2023-09-15,10,GreedySharpe,1.013905459830361
2023-09-18,10,GreedySharpe,1.0121331530799615
2023-09-19,10,GreedySharpe,1.010782565146306
2023-09-20,10,GreedySharpe,1.0047992723563905
